Date,Open,High,Low,Close,Adj Close,Volume
07/09/2021,154.970001,157.259995,154.389999,156.690002,156.033325,82278300
08/09/2021,156.979996,157.039993,153.979996,155.110001,154.459915,74420200
09/09/2021,155.490005,156.110001,153.949997,154.070007,153.424286,57305700
10/09/2021,155,155.479996,148.699997,148.970001,148.345673,140893200
13/09/2021,150.630005,151.419998,148.75,149.550003,148.923233,102404300
14/09/2021,150.350006,151.070007,146.910004,148.119995,147.499207,109296300
15/09/2021,148.559998,149.440002,146.369995,149.029999,148.405411,83281300
16/09/2021,148.440002,148.970001,147.220001,148.789993,148.166412,68034100
17/09/2021,148.820007,148.820007,145.759995,146.059998,145.447861,129868800
20/09/2021,143.800003,144.839996,141.270004,142.940002,142.340942,123478900
21/09/2021,143.929993,144.600006,142.779999,143.429993,142.828873,75834000
