Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,594.690002,613.849976,593.989990,606.710022,606.710022,5821400
2021-09-08,603.840027,615.599976,595.710022,606.049988,606.049988,5424500
2021-09-09,606.469971,609.440002,596.549988,597.539978,597.539978,2954200
2021-09-10,598.159973,609.450012,593.669983,598.719971,598.719971,3950800
2021-09-13,598.570007,598.570007,582.780029,589.289978,589.289978,3062900
2021-09-14,584.890015,587.280029,575.559998,577.760010,577.760010,3457000
2021-09-15,578.169983,584.619995,575.369995,582.869995,582.869995,2755600
2021-09-16,584.299988,587.479980,577.719971,586.500000,586.500000,1832000
2021-09-17,587.849976,590.280029,580.849976,589.349976,589.349976,4145100
2021-09-20,586.789978,591.530029,568.080017,575.429993,575.429993,3732200
2021-09-21,578.309998,581.880005,569.369995,573.140015,573.140015,2250900
